file,rows,det,empty,conf_mean,conf_p50,conf_p90,conf_max,path,detections,empty_rows,mean_conf,median_conf,q90_conf,max_conf
submissions/sub107_nomannic_sub106_img1409_conf070.csv,2000,977,1225,0.3740151637666326,0.33948,0.5700886,0.85036,,,,,,,
submissions/sub108_nomannic_sub106_img1409_conf0850360.csv,2000,977,1225,0.37416906345957013,0.33948,0.5700886,0.85036,,,,,,,
submissions/sub109_nomannic_sub106_img1409_conf060.csv,2000,977,1225,0.37391280962128964,0.33948,0.5700886,0.85036,,,,,,,
submissions/sub110_nomannic_sub106_img1409_conf0475.csv,2000,977,1225,0.37378486693961105,0.33948,0.5665443999999998,0.85036,,,,,,,
submissions/sub111_nomannic_sub106_img1409_conf04625.csv,2000,977,1225,0.37377207267144325,0.33948,0.5665443999999998,0.85036,,,,,,,
submissions/sub112_nomannic_sub106_img1409_conf045.csv,2000,977,1225,0.37375927840327533,0.33948,0.5665443999999998,0.85036,,,,,,,
submissions/sub113_nomannic_sub106_img1409_conf04375.csv,2000,977,1225,0.37374648413510747,0.33948,0.5665443999999998,0.85036,,,,,,,
submissions/sub114_nomannic_sub106_img1409_conf0425.csv,2000,977,1225,0.37373368986693967,0.33948,0.5665443999999998,0.85036,,,,,,,
submissions/sub115_nomannic_sub106_img1409_conf043625.csv,2000,977,1225,0.37374520470829076,0.33948,0.5665443999999998,0.85036,,,,,,,
submissions/sub116_nomannic_sub106_img1409_conf043575.csv,2000,977,1225,0.373744692937564,0.33948,0.5665443999999998,0.85036,,,,,,,
submissions/sub117_nomannic_sub106_img1409_conf0435625.csv,2000,977,1225,0.37374456499488234,0.33948,0.5665443999999998,0.85036,,,,,,,
submissions/sub118_nomannic_sub106_img1409_conf04348.csv,2000,977,1225,0.3737437205731832,0.33948,0.5665443999999998,0.85036,,,,,,,
submissions/sub119_nomannic_sub106_img1409_conf0432875.csv,2000,977,1225,0.3737417502558854,0.33948,0.5665443999999998,0.85036,,,,,,,
submissions/sub120_nomannic_sub106_img1409_conf043269.csv,2000,977,1225,0.3737415609007165,0.33948,0.5665443999999998,0.85036,,,,,,,
submissions/sub121_nomannic_sub106_img1409_conf043139.csv,2000,977,1225,0.3737402302968270,0.33948,0.5665443999999998,0.85036,,,,,,,
submissions/sub122_nomannic_sub106_img1409_conf043097.csv,2000,977,1225,0.3737398004094166,0.33948,0.5665443999999998,0.85036,,,,,,,
submissions/sub123_nomannic_sub121_add_img10_conf050.csv,2000,978,1225,0.3738693302658486,0.3395585,0.5660063000000004,0.85036,,,,,,,
submissions/sub124_nomannic_sub121_add_img10_conf043139.csv,2000,978,1225,0.3737991768916156,0.3395585,0.5660063000000004,0.85036,,,,,,,
submissions/sub125_nomannic_sub121_add_img1378_conf050.csv,2000,978,1224,0.3738693302658487,0.3395585,0.5660063000000004,0.85036,,,,,,,
submissions/sub126_nomannic_sub121_add_img1378_conf043139.csv,2000,978,1224,0.37379917689161557,0.3395585,0.5660063000000004,0.85036,,,,,,,
